Cheftestant,Hometown,chef_url,status,Week,qf_win,qf_top3,qf_points,elim_win,elim_top3,elim_middle,elim_bottom,eliminated,elim_points,lck_win,lck_loss,lck_points,weekly_points
Avishar Barua,"Columbus, OH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,,3,1,,3,,,1,,,2,,,0,5
Dawn Burrell,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,,3,,,0,1,,,,,10,,,0,10
Gabe Erales,"Austin, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,,3,,,0,,,1,,,2,,,0,2
Nelson German,"Oakland, CA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,,3,,,0,,,1,,,2,,,0,2
Byron Gomez,"Aspen, CO",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,,3,,1,1,,,1,,,2,,,0,3
Sasha Grumman,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,LCK,3,,,0,,,1,,,2,1,,1,3
Sara Hauman,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman_0.jpg,,3,,1,1,,,1,,,2,,,0,3
Kiki Louya,"Detroit, MI",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,,3,,,0,,,,1,,0,,,0,0
Maria Mazon,"Tucson, AZ",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,,3,,,0,,,1,,,2,,,0,2
Shota Nakajima,"Seattle, WA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,,3,,,0,,1,,,,5,,,0,5
Gabriel Pascuzzi,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,,3,,,0,,,1,,,2,,,0,2
Jamie Tran,"Las Vegas, NV",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,,3,,,0,,1,,,,5,,,0,5
Chris Viaud,"Milford, NH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,,3,,,0,,,,1,,0,,,0,0
Avishar Barua,"Columbus, OH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,,4,,,0,,,,1,,0,,,0,0
Dawn Burrell,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,,4,,,0,,,1,,,2,,,0,2
Gabe Erales,"Austin, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,,4,,1,1,1,,,,,10,,,0,11
Nelson German,"Oakland, CA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,,4,,,0,,,,1,,0,,,0,0
Byron Gomez,"Aspen, CO",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,,4,,,0,,,1,,,2,,,0,2
Sasha Grumman,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,ELIMINATED,4,,,0,,,,,,0,,1,-1,-1
Sara Hauman,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman_0.jpg,,4,,1,1,,,1,,,2,,,0,3
Kiki Louya,"Detroit, MI",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,LCK,4,,,0,,,,,1,-5,1,,1,-4
Maria Mazon,"Tucson, AZ",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,,4,,,0,,,1,,,2,,,0,2
Shota Nakajima,"Seattle, WA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,,4,,,0,,,1,,,2,,,0,2
Gabriel Pascuzzi,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,,4,,,0,,1,,,,5,,,0,5
Jamie Tran,"Las Vegas, NV",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,,4,,,0,,,1,,,2,,,0,2
Chris Viaud,"Milford, NH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,,4,1,,3,,1,,,,5,,,0,8
